step,value
320,20.0
384,24.0
688,25.0
688,23.0
784,49.0
816,25.0
864,37.0
960,34.0
1040,19.0
1248,28.0
1264,24.0
1344,23.0
1472,26.0
1584,19.0
1616,21.0
1744,28.0
1904,17.0
1968,19.0
2096,22.0
2192,16.0
2336,27.0
2464,17.0
2560,24.0
2672,35.0
2688,22.0
2976,19.0
3008,23.0
3008,19.0
3184,37.0
3504,30.0
3552,35.0
3808,17.0
3872,28.0
3904,27.0
4016,25.0
4080,17.0
4096,17.0
4224,21.0
4336,25.0
4480,21.0
4576,29.0
4624,30.0
4800,35.0
4912,35.0
5264,38.0
5312,23.0
5520,16.0
5616,20.0
5664,29.0
5712,24.0
5920,19.0
5984,19.0
6000,29.0
6032,25.0
6112,24.0
6144,33.0
6208,17.0
6272,21.0
6352,17.0
6496,31.0
6688,29.0
6992,37.0
7232,24.0
7232,25.0
7696,36.0
7760,30.0
8016,27.0
8304,16.0
8336,25.0
8496,19.0
8528,19.0
8688,23.0
8976,39.0
9072,37.0
9120,23.0
9248,36.0
9264,39.0
9360,26.0
9488,31.0
9488,19.0
9792,51.0
10128,28.0
10320,19.0
10400,32.0
10512,24.0
10544,24.0
10576,48.0
10816,73.0
10912,20.0
10976,20.0
11232,19.0
11376,25.0
11376,20.0
11392,29.0
11600,23.0
11712,23.0
11824,26.0
12000,34.0
12160,19.0
12352,28.0
12448,17.0
12480,17.0
12736,23.0
12832,23.0
13312,35.0
13472,18.0
13584,23.0
13680,21.0
13808,47.0
14080,25.0
14320,26.0
14432,31.0
14544,19.0
14720,24.0
14928,24.0
14976,19.0
15232,39.0
15488,17.0
15616,19.0
15696,35.0
15888,20.0
15904,20.0
15968,19.0
16272,16.0
16432,26.0
16464,34.0
16688,23.0
16704,27.0
16752,17.0
16992,56.0
17136,40.0
17408,20.0
17584,27.0
17728,36.0
17840,42.0
17952,27.0
17968,32.0
18016,24.0
18144,21.0
18240,19.0
18304,34.0
18352,24.0
18816,19.0
19040,26.0
19344,25.0
19376,17.0
19392,17.0
19424,18.0
19472,19.0
19920,29.0
20064,19.0
20144,31.0
20304,32.0
20592,17.0
20768,36.0
20816,26.0
20992,17.0
21072,34.0
21168,21.0
21312,19.0
21392,19.0
21408,23.0
21520,18.0
21744,37.0
21856,45.0
22192,16.0
22336,20.0
22528,19.0
22576,24.0
22880,16.0
22960,35.0
23040,19.0
23168,17.0
23200,22.0
23200,24.0
23280,18.0
23536,30.0
23552,16.0
23600,26.0
23712,31.0
23744,28.0
23888,26.0
23904,26.0
24112,34.0
24128,19.0
24224,19.0
24352,17.0
24400,30.0
24528,18.0
24528,21.0
24656,19.0
24720,20.0
24848,19.0
25088,39.0
25136,20.0
25440,19.0
25568,22.0
25712,35.0
25760,17.0
25776,28.0
26048,26.0
26448,20.0
26512,45.0
26816,20.0
26912,26.0
27264,27.0
27264,25.0
27520,58.0
27568,35.0
27632,41.0
27744,25.0
27984,37.0
28272,19.0
28368,29.0
28480,31.0
28832,21.0
28896,29.0
29008,31.0
29088,25.0
29216,38.0
29520,17.0
29584,36.0
29616,24.0
29632,25.0
29680,22.0
29904,30.0
29920,44.0
29920,29.0
29936,21.0
30080,30.0
30224,33.0
30288,21.0
30464,33.0
30496,16.0
30848,25.0
30928,28.0
31328,31.0
31440,33.0
31536,37.0
31536,37.0
31840,23.0
32160,22.0
32480,25.0
32624,29.0
33024,24.0
33104,33.0
33280,19.0
33376,16.0
33600,17.0
33808,27.0
34048,26.0
34640,20.0
34656,26.0
34784,29.0
35392,40.0
35392,19.0
35504,18.0
35680,17.0
36336,16.0
36352,27.0
36384,24.0
36416,17.0
36560,24.0
36624,29.0
36656,23.0
36736,24.0
36784,24.0
37056,27.0
37104,19.0
37328,47.0
37408,24.0
37648,28.0
38128,18.0
38240,19.0
38336,39.0
38384,23.0
38448,19.0
38608,16.0
38720,20.0
38752,25.0
38768,40.0
38832,33.0
39056,45.0
39104,18.0
39136,18.0
39280,25.0
39424,26.0
39456,19.0
40000,36.0
40112,38.0
40240,24.0
40320,39.0
40416,23.0
40592,27.0
40608,37.0
40624,16.0
40736,26.0
40768,28.0
40880,16.0
41104,20.0
41264,32.0
41344,44.0
41744,26.0
41824,37.0
41856,18.0
41872,25.0
42432,53.0
42560,24.0
43024,19.0
43088,22.0
43296,34.0
43424,33.0
43472,35.0
43616,19.0
43632,23.0
43904,29.0
43920,27.0
44032,35.0
44208,18.0
44240,29.0
44560,26.0
44576,24.0
44592,30.0
44624,24.0
44752,20.0
44800,53.0
45008,32.0
45136,45.0
