step,value
8192,657.0
16384,686.0
24576,699.0
32768,708.0
40960,696.0
49152,691.0
57344,698.0
65536,694.0
73728,699.0
81920,697.0
90112,697.0
98304,697.0
106496,699.0
114688,698.0
122880,698.0
131072,699.0
139264,700.0
147456,701.0
155648,701.0
163840,702.0
172032,702.0
180224,702.0
188416,702.0
196608,704.0
204800,704.0
212992,706.0
221184,706.0
229376,708.0
237568,708.0
245760,707.0
253952,708.0
262144,707.0
270336,706.0
278528,706.0
286720,707.0
294912,706.0
303104,707.0
311296,707.0
319488,707.0
327680,706.0
335872,707.0
344064,707.0
352256,706.0
360448,706.0
368640,706.0
376832,706.0
385024,706.0
393216,706.0
401408,706.0
409600,706.0
417792,707.0
425984,707.0
434176,707.0
442368,708.0
450560,707.0
458752,707.0
466944,707.0
475136,707.0
483328,707.0
491520,706.0
499712,706.0
507904,706.0
516096,707.0
524288,707.0
532480,707.0
540672,707.0
548864,706.0
557056,707.0
565248,707.0
573440,706.0
581632,706.0
589824,706.0
598016,706.0
606208,707.0
614400,706.0
622592,707.0
630784,707.0
638976,707.0
647168,707.0
655360,707.0
663552,707.0
671744,707.0
679936,707.0
688128,707.0
696320,707.0
704512,707.0
712704,706.0
720896,706.0
729088,707.0
737280,706.0
745472,706.0
753664,706.0
761856,706.0
770048,705.0
778240,705.0
786432,706.0
794624,706.0
802816,706.0
811008,706.0
819200,706.0
827392,706.0
835584,705.0
843776,705.0
851968,705.0
860160,705.0
868352,705.0
876544,705.0
884736,705.0
892928,705.0
901120,705.0
909312,705.0
917504,705.0
925696,705.0
933888,705.0
942080,705.0
950272,705.0
958464,705.0
966656,704.0
974848,704.0
983040,704.0
991232,704.0
999424,704.0
1007616,704.0
1015808,704.0
1024000,704.0
1032192,704.0
1040384,704.0
1048576,704.0
1056768,704.0
1064960,704.0
1073152,705.0
1081344,705.0
1089536,705.0
1097728,705.0
1105920,705.0
1114112,705.0
1122304,704.0
1130496,704.0
1138688,704.0
1146880,704.0
1155072,702.0
1163264,701.0
1171456,700.0
1179648,699.0
1187840,699.0
1196032,698.0
1204224,698.0
1212416,698.0
1220608,698.0
1228800,698.0
1236992,698.0
1245184,698.0
1253376,698.0
1261568,698.0
1269760,698.0
1277952,698.0
1286144,699.0
1294336,699.0
1302528,699.0
1310720,698.0
1318912,698.0
1327104,698.0
1335296,699.0
1343488,698.0
1351680,698.0
1359872,699.0
1368064,699.0
1376256,699.0
1384448,699.0
1392640,699.0
1400832,699.0
1409024,699.0
1417216,699.0
1425408,699.0
1433600,699.0
1441792,699.0
1449984,699.0
1458176,699.0
1466368,699.0
1474560,700.0
1482752,700.0
1490944,699.0
1499136,700.0
1507328,700.0
1515520,699.0
1523712,700.0
1531904,700.0
1540096,700.0
1548288,699.0
1556480,699.0
1564672,699.0
1572864,699.0
1581056,699.0
1589248,699.0
1597440,699.0
1605632,699.0
1613824,699.0
1622016,699.0
1630208,699.0
1638400,699.0
1646592,699.0
1654784,699.0
1662976,699.0
1671168,699.0
1679360,699.0
1687552,699.0
1695744,699.0
1703936,699.0
1712128,699.0
1720320,699.0
1728512,700.0
1736704,700.0
1744896,700.0
1753088,700.0
1761280,700.0
1769472,700.0
1777664,700.0
1785856,700.0
1794048,700.0
1802240,700.0
1810432,700.0
1818624,700.0
1826816,700.0
1835008,700.0
1843200,700.0
1851392,700.0
1859584,700.0
1867776,700.0
1875968,700.0
1884160,700.0
1892352,699.0
1900544,699.0
1908736,699.0
1916928,698.0
1925120,698.0
1933312,698.0
1941504,698.0
1949696,698.0
1957888,698.0
1966080,698.0
1974272,698.0
1982464,698.0
1990656,698.0
1998848,698.0
2007040,698.0
2015232,698.0
2023424,698.0
2031616,698.0
2039808,698.0
2048000,698.0
2056192,698.0
2064384,698.0
2072576,698.0
2080768,698.0
2088960,698.0
2097152,698.0
2105344,698.0
2113536,698.0
2121728,698.0
2129920,698.0
2138112,697.0
2146304,697.0
2154496,696.0
2162688,695.0
2170880,695.0
2179072,695.0
2187264,695.0
2195456,695.0
2203648,695.0
2211840,695.0
2220032,695.0
2228224,695.0
2236416,696.0
2244608,696.0
2252800,695.0
2260992,696.0
2269184,696.0
2277376,696.0
2285568,696.0
2293760,696.0
2301952,696.0
2310144,695.0
2318336,696.0
2326528,696.0
2334720,695.0
2342912,695.0
2351104,694.0
2359296,694.0
2367488,693.0
2375680,693.0
2383872,693.0
2392064,693.0
2400256,693.0
2408448,693.0
2416640,693.0
2424832,693.0
2433024,693.0
2441216,693.0
2449408,693.0
2457600,693.0
2465792,693.0
2473984,693.0
2482176,693.0
2490368,692.0
2498560,692.0
2506752,691.0
2514944,691.0
2523136,691.0
2531328,691.0
2539520,691.0
2547712,691.0
2555904,691.0
2564096,691.0
2572288,691.0
2580480,691.0
2588672,691.0
2596864,691.0
2605056,691.0
2613248,691.0
2621440,691.0
2629632,691.0
2637824,691.0
2646016,692.0
2654208,692.0
2662400,692.0
2670592,692.0
2678784,692.0
2686976,692.0
2695168,692.0
2703360,692.0
2711552,692.0
2719744,692.0
2727936,692.0
2736128,692.0
2744320,692.0
2752512,692.0
2760704,692.0
2768896,692.0
2777088,692.0
2785280,692.0
2793472,692.0
2801664,692.0
2809856,692.0
2818048,693.0
2826240,693.0
2834432,692.0
2842624,692.0
2850816,692.0
2859008,693.0
2867200,693.0
2875392,693.0
2883584,693.0
2891776,693.0
2899968,693.0
2908160,693.0
2916352,693.0
2924544,693.0
2932736,693.0
2940928,693.0
2949120,693.0
2957312,693.0
2965504,693.0
2973696,693.0
2981888,693.0
2990080,693.0
2998272,693.0
3006464,693.0
3014656,693.0
3022848,693.0
3031040,693.0
3039232,693.0
3047424,693.0
3055616,693.0
3063808,694.0
3072000,694.0
3080192,694.0
3088384,694.0
3096576,694.0
3104768,694.0
3112960,694.0
3121152,694.0
3129344,694.0
3137536,694.0
3145728,694.0
3153920,694.0
3162112,694.0
3170304,694.0
3178496,694.0
3186688,694.0
3194880,694.0
3203072,694.0
3211264,694.0
3219456,694.0
3227648,694.0
3235840,694.0
3244032,694.0
3252224,695.0
3260416,694.0
3268608,694.0
3276800,694.0
3284992,694.0
3293184,694.0
3301376,694.0
3309568,694.0
3317760,694.0
3325952,695.0
3334144,695.0
3342336,695.0
3350528,695.0
3358720,695.0
3366912,695.0
3375104,695.0
3383296,695.0
3391488,695.0
3399680,695.0
3407872,695.0
3416064,695.0
3424256,695.0
3432448,695.0
3440640,695.0
3448832,695.0
3457024,695.0
3465216,695.0
3473408,695.0
3481600,695.0
3489792,695.0
3497984,695.0
3506176,695.0
3514368,695.0
3522560,695.0
3530752,696.0
3538944,696.0
3547136,696.0
3555328,696.0
3563520,696.0
3571712,696.0
3579904,696.0
3588096,696.0
3596288,696.0
3604480,696.0
3612672,696.0
3620864,696.0
3629056,696.0
3637248,696.0
3645440,696.0
3653632,696.0
3661824,696.0
3670016,696.0
3678208,697.0
3686400,697.0
3694592,697.0
3702784,697.0
3710976,697.0
3719168,697.0
3727360,697.0
3735552,697.0
3743744,697.0
3751936,697.0
3760128,697.0
3768320,697.0
3776512,697.0
3784704,697.0
3792896,697.0
3801088,697.0
3809280,697.0
3817472,697.0
3825664,697.0
3833856,697.0
3842048,697.0
3850240,697.0
3858432,697.0
3866624,697.0
3874816,697.0
3883008,697.0
3891200,697.0
3899392,697.0
3907584,697.0
3915776,697.0
3923968,697.0
3932160,697.0
3940352,697.0
3948544,697.0
3956736,697.0
3964928,698.0
3973120,698.0
3981312,698.0
3989504,698.0
3997696,698.0
4005888,698.0
4014080,697.0
4022272,697.0
4030464,697.0
4038656,697.0
4046848,697.0
4055040,697.0
4063232,697.0
4071424,696.0
4079616,696.0
4087808,697.0
4096000,697.0
4104192,697.0
4112384,697.0
4120576,697.0
4128768,697.0
4136960,697.0
4145152,697.0
4153344,697.0
4161536,697.0
4169728,697.0
4177920,697.0
4186112,697.0
4194304,697.0
4202496,697.0
4210688,697.0
4218880,697.0
4227072,697.0
4235264,697.0
4243456,697.0
4251648,697.0
4259840,697.0
4268032,697.0
4276224,697.0
4284416,697.0
4292608,697.0
4300800,697.0
4308992,697.0
4317184,697.0
4325376,697.0
4333568,697.0
4341760,697.0
4349952,697.0
4358144,697.0
4366336,697.0
4374528,697.0
4382720,697.0
4390912,697.0
4399104,697.0
4407296,697.0
4415488,697.0
4423680,697.0
4431872,697.0
4440064,698.0
4448256,697.0
4456448,698.0
4464640,697.0
4472832,697.0
4481024,697.0
4489216,697.0
4497408,697.0
4505600,697.0
4513792,698.0
4521984,698.0
4530176,698.0
4538368,698.0
4546560,698.0
4554752,698.0
4562944,698.0
4571136,698.0
4579328,698.0
4587520,698.0
4595712,698.0
4603904,698.0
4612096,698.0
4620288,698.0
4628480,698.0
4636672,698.0
4644864,698.0
4653056,698.0
4661248,698.0
4669440,698.0
4677632,698.0
4685824,698.0
4694016,698.0
4702208,698.0
4710400,698.0
4718592,698.0
4726784,698.0
4734976,698.0
4743168,698.0
4751360,698.0
4759552,698.0
4767744,698.0
4775936,698.0
4784128,698.0
4792320,698.0
4800512,698.0
4808704,698.0
4816896,698.0
4825088,698.0
4833280,698.0
4841472,698.0
4849664,698.0
4857856,698.0
4866048,698.0
4874240,698.0
4882432,698.0
4890624,698.0
4898816,698.0
4907008,698.0
4915200,698.0
4923392,698.0
4931584,698.0
4939776,698.0
4947968,698.0
4956160,698.0
4964352,698.0
4972544,698.0
4980736,698.0
4988928,698.0
4997120,698.0
5005312,698.0
5013504,698.0
5021696,698.0
5029888,698.0
5038080,699.0
5046272,699.0
5054464,699.0
5062656,699.0
5070848,699.0
5079040,699.0
5087232,699.0
5095424,699.0
5103616,699.0
5111808,699.0
5120000,699.0
5128192,699.0
5136384,699.0
5144576,699.0
5152768,699.0
5160960,699.0
5169152,699.0
5177344,699.0
5185536,699.0
5193728,699.0
5201920,699.0
5210112,699.0
5218304,699.0
5226496,699.0
5234688,699.0
5242880,699.0
5251072,699.0
5259264,699.0
5267456,699.0
5275648,699.0
5283840,699.0
5292032,699.0
5300224,699.0
5308416,699.0
5316608,700.0
5324800,700.0
5332992,700.0
5341184,700.0
5349376,700.0
5357568,700.0
5365760,700.0
5373952,700.0
5382144,700.0
5390336,700.0
5398528,700.0
5406720,700.0
5414912,700.0
5423104,700.0
5431296,700.0
5439488,700.0
5447680,700.0
5455872,700.0
5464064,700.0
5472256,700.0
5480448,700.0
5488640,700.0
5496832,700.0
5505024,700.0
5513216,700.0
5521408,700.0
5529600,700.0
5537792,700.0
5545984,700.0
5554176,700.0
5562368,700.0
5570560,700.0
5578752,700.0
5586944,700.0
5595136,700.0
5603328,700.0
5611520,700.0
5619712,700.0
5627904,700.0
5636096,700.0
5644288,700.0
5652480,700.0
5660672,700.0
5668864,700.0
5677056,700.0
5685248,700.0
5693440,700.0
5701632,700.0
5709824,700.0
5718016,700.0
5726208,700.0
5734400,700.0
5742592,700.0
5750784,700.0
5758976,700.0
5767168,700.0
5775360,700.0
5783552,700.0
5791744,700.0
5799936,700.0
5808128,700.0
5816320,700.0
5824512,700.0
5832704,700.0
5840896,700.0
5849088,700.0
5857280,700.0
5865472,700.0
5873664,700.0
5881856,700.0
5890048,700.0
5898240,700.0
5906432,700.0
5914624,700.0
5922816,700.0
5931008,700.0
5939200,700.0
5947392,700.0
5955584,700.0
5963776,700.0
5971968,700.0
5980160,700.0
5988352,700.0
5996544,700.0
6004736,700.0
6012928,700.0
6021120,700.0
6029312,700.0
6037504,700.0
6045696,700.0
6053888,700.0
6062080,700.0
6070272,700.0
6078464,700.0
6086656,700.0
6094848,700.0
6103040,700.0
6111232,700.0
6119424,700.0
6127616,700.0
6135808,700.0
6144000,700.0
6152192,700.0
6160384,700.0
6168576,700.0
6176768,700.0
6184960,700.0
6193152,700.0
6201344,700.0
6209536,700.0
6217728,700.0
6225920,700.0
6234112,700.0
6242304,700.0
6250496,700.0
6258688,700.0
6266880,700.0
6275072,700.0
6283264,700.0
6291456,700.0
6299648,700.0
6307840,700.0
6316032,700.0
6324224,700.0
6332416,700.0
6340608,700.0
6348800,700.0
6356992,700.0
6365184,700.0
6373376,700.0
6381568,700.0
6389760,700.0
6397952,700.0
6406144,700.0
6414336,700.0
6422528,700.0
6430720,700.0
6438912,700.0
6447104,700.0
6455296,700.0
6463488,700.0
6471680,700.0
6479872,700.0
6488064,700.0
6496256,700.0
6504448,700.0
6512640,700.0
6520832,700.0
6529024,700.0
6537216,700.0
6545408,700.0
6553600,700.0
6561792,700.0
6569984,700.0
6578176,700.0
6586368,700.0
6594560,700.0
6602752,700.0
6610944,700.0
6619136,700.0
6627328,700.0
6635520,700.0
6643712,700.0
6651904,700.0
6660096,700.0
6668288,700.0
6676480,700.0
6684672,701.0
6692864,701.0
6701056,701.0
6709248,701.0
6717440,701.0
6725632,701.0
6733824,701.0
6742016,701.0
6750208,701.0
6758400,701.0
6766592,701.0
6774784,701.0
6782976,701.0
6791168,701.0
6799360,701.0
6807552,701.0
6815744,701.0
6823936,701.0
6832128,701.0
6840320,701.0
6848512,701.0
6856704,701.0
6864896,701.0
6873088,701.0
6881280,701.0
6889472,701.0
6897664,701.0
6905856,701.0
6914048,701.0
6922240,701.0
6930432,701.0
6938624,701.0
6946816,701.0
6955008,701.0
6963200,701.0
6971392,701.0
6979584,701.0
6987776,701.0
6995968,701.0
7004160,701.0
7012352,701.0
7020544,701.0
7028736,701.0
7036928,701.0
