control_step,lap_time,x,y,yaw,velocity,steering_state,commanded_steering,commanded_speed,lidar_fresh,instantaneous_reward,cumulative_reward,progress
0,0.10999999999999999,0.0,0.0,0.0,0.0,0.0,0,7,True,0.0,0.0,0.0004235027159470536
1,0.21000000000000005,0.04022730000000001,0.0,0.0,0.9224699999999999,0.0,0,7,True,0.0,0.0,0.0018451903203083203
2,0.3100000000000001,0.17526929999999996,0.0,0.0,1.8734699999999995,0.0,-0.02730349898338318,6.0,True,0.19163387721481862,0.19163387721481862,0.004211097660123704
3,0.4100000000000002,0.4054099257854897,-0.0006046420977472552,6.279332406899867,2.8244699999999994,0.0,-0.020079006254673005,6.0,True,0.1902627340982183,0.3818966113130369,0.0076919241232672655
4,0.5100000000000002,0.7306336597912013,-0.00398088897676173,6.269843320933468,3.775469999999999,0.0,-0.003485039994120598,6.0,True,0.18705194196264954,0.5689485532756865,0.012094634444884367
5,0.6100000000000003,1.1488343991293875,-0.011610648135274609,6.259228193358612,4.621125868441667,0.0,0.013915133476257325,6.0,True,0.18422537772087622,0.7531739309965627,0.01723245070178323
6,0.7100000000000004,1.6368607284268524,-0.023452807787399627,6.258966318390905,5.152876976306625,0.0,0.009488254040479661,6.0,True,0.1860615074561701,0.9392354384527328,0.02282478644770693
7,0.8100000000000005,2.1680605514289835,-0.033470720032260065,6.276343322323001,5.4795627818034465,0.0,-0.014990137517452241,6.0,True,0.19079365434841228,1.1300290928011452,0.02869679939008147
8,0.9100000000000006,2.725826103672372,-0.03877890990283233,6.278685413441528,5.680264978629355,0.0,-0.041107118129730225,6.0,True,0.19686424815461584,1.326893340955761,0.03473974572955138
9,1.0100000000000007,3.299828125685731,-0.04700791103218545,6.2437926263140024,5.803568076385578,-0.064,-0.02873644530773163,5.99999925494194,True,0.19686130670617571,1.5237546476619368,0.040882937833457984
10,1.1100000000000008,3.883352203374002,-0.07160702100082197,6.193443258934294,5.879320093502991,0.0,0.051286530494689946,5.998500794172287,True,0.18241737766353916,1.706172025325476,0.04708137712370113
11,1.2100000000000009,4.472124051749991,-0.11235312804826608,6.202860681515373,5.925281119362108,0.064,-0.03947498202323914,5.999874532222748,True,0.19370991160752132,1.8998819369329973,0.05332100636883811
12,1.310000000000001,5.064808414993317,-0.15087502594056834,6.24211489756012,5.954047436040518,-0.064,-0.10268120765686035,5.94243323802948,True,0.17435277513240366,2.074234712065401,0.05956548428014879
13,1.410000000000001,5.657953339034545,-0.19445824305497192,6.149381876933317,5.943841770783076,-0.128,-0.027099215984344484,5.341817647218704,True,0.14300807386957784,2.217242785934979,0.06542966084842469
14,1.5100000000000011,6.2149745367321225,-0.27421105943846735,5.960696728970144,5.417978879505102,0.0,0.1970897912979126,5.51793447136879,True,0.16043051775288572,2.377673303687865,0.07098423527476992
15,1.6100000000000012,6.742587521034334,-0.40494584018671304,5.972398162332285,5.456525905295444,0.192,0.171739399433136,3.6350082736462355,True,0.05247527117757095,2.4301485748654357,0.0761512236265507
16,1.7100000000000013,7.233384823381688,-0.5132162603958336,0.007650726373969796,4.50552590529544,0.192,0.048430636525154114,4.3479053527116776,True,0.18083157774458417,2.61098015261002,0.08079052552238865
17,1.8100000000000014,7.674058713127824,-0.517294022528231,0.2817817426534499,4.3670210687295485,0.064,-0.08216204643249513,3.9631513357162476,True,0.16333502550029783,2.7743151781103177,0.0850633908861289
18,1.9100000000000015,8.079925854882537,-0.43269064743374386,0.35625201370786963,4.012131364005342,-0.064,-0.2816359281539917,2.734236851334572,True,0.02280598163460773,2.7971211597449255,0.08870116109700683
19,2.010000000000001,8.425467142089643,-0.337623659224987,0.24553444003909586,3.075968007695362,-0.256,-0.2620044946670532,3.2860556840896606,True,0.0895867237945501,2.8867078835394757,0.09195137149299572
20,2.109999999999999,8.734195241672621,-0.3002661906158575,0.004500254334258068,3.1569865373164734,-0.256,-0.25237569808959964,3.9993489757180214,True,0.15821334757558436,3.04492123111506,0.09542202777214803
21,2.209999999999997,9.063862859095407,-0.33101701431110464,6.084349685309128,3.481836463493293,-0.256,-0.25375847816467284,5.985632300376892,True,0.0,3.04492123111506,0.10021146885094294
